Vehicle_Model,Maintenance_History,Reported_Issues,Vehicle_Age,Odometer_Reading,Days_Since_Last_Service,Last_Service_Date,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Car,Poor,0,2,70451,729.00,03-05-2023,3,1,19.64478621,Good,New,New,0
Van,Good,0,9,29594,519.00,29-11-2023,6,0,15.50387294,Good,Worn Out,Weak,1
Bus,Good,2,3,50909,657.00,14-07-2023,8,3,15.17027447,Good,New,Weak,1
Bus,Poor,2,3,118965,755.00,07-04-2023,1,3,12.291804,New,Good,Weak,1
SUV,Good,5,3,44476,436.00,20-02-2024,7,3,19.63863286,New,Good,Weak,1
Car,Poor,2,6,74468,749.00,13-04-2023,5,3,13.77819745,Worn Out,Good,Good,1
Car,Poor,0,4,25438,551.00,28-10-2023,1,3,14.47292493,New,New,Good,0
Van,Good,5,8,39663,697.00,04-06-2023,9,2,16.00573288,Good,Worn Out,Good,1
Truck,Good,1,5,13822,541.00,07-11-2023,7,2,13.15529584,Worn Out,Good,Weak,1
Van,Poor,0,9,128969,463.00,24-01-2024,6,2,15.46428444,Worn Out,Good,Weak,1
SUV,Poor,3,9,80353,476.00,11-01-2024,4,2,17.00886096,Good,Good,New,1
Van,Average,3,7,84654,696.00,05-06-2023,6,2,11.26108599,New,New,Good,1
Bus,Poor,4,7,96864,643.00,28-07-2023,4,1,17.37626621,Worn Out,Worn Out,Good,1
Car,Poor,1,6,100422,565.00,14-10-2023,1,0,14.75403724,Good,New,Weak,1
Truck,Average,3,9,138360,437.00,19-02-2024,1,2,11.30160585,Good,New,New,1
Bus,Average,1,6,95217,761.00,01-04-2023,9,0,11.89605574,New,Worn Out,Weak,1
Truck,Poor,5,7,27166,508.00,10-12-2023,3,3,15.03652505,Worn Out,Good,Good,1
Car,Good,2,9,114012,680.00,21-06-2023,3,2,17.04745478,Good,New,Good,0
Car,Poor,2,7,6933,472.00,15-01-2024,5,1,17.45292064,Good,New,New,1
Motorcycle,Poor,5,8,131990,731.00,01-05-2023,1,1,16.77726442,New,Worn Out,Weak,1
Motorcycle,Poor,4,9,31340,603.00,06-09-2023,8,3,11.73816304,Good,New,New,1
Truck,Good,2,8,99200,576.00,03-10-2023,7,2,13.04448949,New,New,Good,0
Motorcycle,Good,1,9,126211,573.00,06-10-2023,9,3,12.80123574,Worn Out,Good,New,1
SUV,Good,3,5,108354,591.00,18-09-2023,5,0,14.66509098,Good,Good,Weak,1
SUV,Average,4,6,76463,617.00,23-08-2023,1,2,12.1089838,Good,Good,Good,1
Van,Average,2,6,3960,560.00,19-10-2023,5,1,19.84961042,Good,Good,Good,0
SUV,Average,5,4,65348,585.00,24-09-2023,4,2,16.01457955,Worn Out,Good,Good,1
Van,Good,1,7,101544,761.00,01-04-2023,1,2,14.77559227,New,Good,New,0
Motorcycle,Good,1,5,49046,755.00,07-04-2023,3,2,14.68449984,New,Good,Good,0
SUV,Poor,2,9,143661,456.00,31-01-2024,3,2,12.1782827,Good,New,Good,1
Truck,Poor,0,4,9966,545.00,03-11-2023,10,2,13.6903441,New,Worn Out,Weak,1
Motorcycle,Good,5,5,53610,680.00,21-06-2023,10,1,16.15700436,New,Worn Out,New,1
Motorcycle,Poor,1,8,120494,745.00,17-04-2023,8,2,17.54513078,Good,Good,New,1
Truck,Average,5,4,75350,493.00,25-12-2023,1,3,13.15606528,Worn Out,Worn Out,Weak,1
Car,Poor,5,5,123927,561.00,18-10-2023,3,1,10.20533755,Good,Worn Out,Good,1
Bus,Good,5,4,78637,612.00,28-08-2023,9,2,15.12838051,New,Worn Out,New,1
Motorcycle,Average,0,4,72931,480.00,07-01-2024,2,2,14.43189986,Good,New,Weak,1
Car,Average,1,8,23098,488.00,30-12-2023,2,0,10.98960555,Worn Out,Good,New,0
Car,Poor,4,1,46375,506.00,12-12-2023,3,3,15.9519271,New,Worn Out,Good,1
Car,Good,0,2,119708,489.00,29-12-2023,9,3,19.21911817,Good,New,New,1
SUV,Poor,4,10,37850,620.00,20-08-2023,8,3,19.79567355,New,Good,Weak,1
Van,Average,4,5,50446,728.00,04-05-2023,7,3,11.48603659,Good,New,Weak,1
Motorcycle,Average,4,4,43392,564.00,15-10-2023,8,3,17.97896027,Worn Out,Worn Out,New,1
Motorcycle,Average,5,1,41217,665.00,06-07-2023,6,0,17.33424545,Worn Out,Worn Out,Weak,1
Truck,Poor,2,2,1665,628.00,12-08-2023,2,3,14.494605,New,Worn Out,New,1
Van,Poor,4,8,29081,740.00,22-04-2023,7,3,15.3233518,New,Good,Weak,1
Motorcycle,Good,3,4,20870,560.00,19-10-2023,4,1,16.78271475,Worn Out,New,New,0
Bus,Average,0,3,81014,758.00,04-04-2023,4,0,12.62625973,New,Good,New,0
Truck,Good,1,6,108379,679.00,22-06-2023,1,2,19.02181749,Good,Good,New,0
Motorcycle,Average,2,8,82453,576.00,03-10-2023,1,3,16.23878702,Worn Out,Good,Good,0
Car,Good,0,10,22440,676.00,25-06-2023,9,3,19.26835876,Good,Worn Out,New,1
Car,Average,2,8,111785,599.00,10-09-2023,10,2,17.14352326,New,Good,Weak,1
Bus,Good,3,8,60154,538.00,10-11-2023,9,2,15.77147385,Good,Worn Out,Weak,1
Bus,Average,1,1,148594,587.00,22-09-2023,5,0,19.30636613,New,Worn Out,Good,1
Bus,Poor,5,3,131737,696.00,05-06-2023,2,2,15.77211231,New,New,Good,1
Truck,Average,0,3,115009,657.00,14-07-2023,8,2,15.69692237,New,Good,New,1
Truck,Average,5,6,19824,507.00,11-12-2023,10,3,11.25378606,New,New,Weak,1
Bus,Poor,5,7,4387,614.00,26-08-2023,9,2,12.85408638,New,Worn Out,Weak,1
Car,Poor,5,4,112047,631.00,09-08-2023,3,2,12.74485042,Good,Worn Out,New,1
Car,Average,3,7,75259,478.00,09-01-2024,5,3,11.43061266,Worn Out,Worn Out,Good,1
Motorcycle,Poor,2,10,88340,523.00,25-11-2023,4,0,17.28488311,New,New,Good,1
Car,Good,4,4,127388,497.00,21-12-2023,4,2,13.62593455,New,New,Weak,1
SUV,Average,4,4,41912,439.00,17-02-2024,5,2,11.45455534,Worn Out,Worn Out,Weak,1
SUV,Poor,0,5,16473,534.00,14-11-2023,8,0,10.27327778,New,New,New,0
Van,Average,3,9,111694,588.00,21-09-2023,10,3,18.79271275,Worn Out,Worn Out,Weak,1
Van,Average,0,4,95935,645.00,26-07-2023,8,1,14.6493249,Good,Worn Out,New,1
SUV,Poor,0,4,12875,694.00,07-06-2023,7,1,16.96825187,Worn Out,Worn Out,New,1
Bus,Good,5,5,9002,519.00,29-11-2023,7,0,13.90289811,Worn Out,Good,Weak,1
SUV,Good,1,5,38983,503.00,15-12-2023,9,3,18.10466009,Worn Out,Worn Out,New,1
Truck,Average,5,6,109097,649.00,22-07-2023,6,3,15.15621702,Good,New,New,1
Truck,Good,0,8,8083,508.00,10-12-2023,7,3,19.02664505,New,Good,New,0
Motorcycle,Good,1,6,131339,689.00,12-06-2023,10,0,17.69253654,New,New,Weak,1
Van,Average,3,10,10015,728.00,04-05-2023,1,3,17.19605308,New,Good,Weak,1
SUV,Average,2,3,10473,554.00,25-10-2023,3,0,17.1373166,New,Good,New,0
SUV,Good,0,1,126199,592.00,17-09-2023,7,3,11.82303859,Good,Worn Out,Good,1
Car,Poor,5,6,119269,593.00,16-09-2023,9,1,19.59515399,Worn Out,Good,Good,1
Bus,Average,0,5,8720,749.00,13-04-2023,3,1,14.25867168,Good,Worn Out,Weak,1
Car,Poor,0,5,20773,518.00,30-11-2023,10,1,15.24518886,Worn Out,New,Good,0
SUV,Poor,5,6,139412,658.00,13-07-2023,6,2,10.69911921,Good,Good,New,1
SUV,Good,4,4,133527,721.00,11-05-2023,2,2,17.68906372,Good,Good,Good,1
Truck,Poor,0,2,142028,709.00,23-05-2023,9,0,11.98974301,Good,Good,Good,0
Bus,Average,5,6,128290,724.00,08-05-2023,1,0,10.06124362,Good,New,New,1
Motorcycle,Good,3,4,28806,591.00,18-09-2023,10,2,19.26639348,New,New,New,1
Truck,Good,4,2,134112,458.00,29-01-2024,7,1,18.71945145,Good,Good,New,1
SUV,Average,4,2,51971,504.00,14-12-2023,8,0,16.12764615,Worn Out,New,Good,1
Truck,Average,1,1,114972,518.00,30-11-2023,3,0,18.0793029,New,Worn Out,Weak,1
Bus,Good,1,8,122757,723.00,09-05-2023,7,2,16.43036126,Worn Out,Worn Out,Good,1
SUV,Good,1,10,2757,708.00,24-05-2023,7,2,14.05774423,New,Worn Out,Weak,1
Van,Poor,0,4,91175,710.00,22-05-2023,1,3,11.05140619,Good,Worn Out,Weak,1
SUV,Good,0,4,66946,742.00,20-04-2023,8,0,11.41448262,Good,Good,Good,0
Truck,Good,1,2,2092,636.00,04-08-2023,7,2,18.42579007,New,New,Weak,1
Bus,Average,4,9,133570,615.00,25-08-2023,1,3,15.8003423,Worn Out,New,Good,1
Bus,Good,1,7,128477,575.00,04-10-2023,10,3,18.09635048,Good,New,Good,1
Motorcycle,Average,1,7,39151,674.00,27-06-2023,1,3,11.91656902,Good,Worn Out,Weak,1
Bus,Average,2,1,143399,737.00,25-04-2023,5,0,15.47529753,Worn Out,New,New,0
Van,Average,1,6,68709,443.00,13-02-2024,1,1,12.61595138,Good,Good,Weak,1
Car,Good,0,3,63117,553.00,26-10-2023,6,0,17.78204215,Good,Good,New,0
Car,Poor,5,7,123164,429.00,27-02-2024,4,2,13.30667774,New,Worn Out,New,1
Truck,Good,4,9,86397,505.00,13-12-2023,6,2,14.61892002,Good,Worn Out,Good,1
Van,Average,4,10,49860,457.00,30-01-2024,1,2,10.72510827,New,Worn Out,New,1
Car,Good,4,2,137377,651.00,20-07-2023,7,1,19.5186918,New,Worn Out,Good,1
Car,Good,0,1,5433,654.00,17-07-2023,3,3,11.53739084,Good,Good,New,0
SUV,Good,3,4,99219,645.00,26-07-2023,1,1,11.95223129,Good,Good,Weak,1
Truck,Average,5,6,60511,514.00,04-12-2023,6,0,19.42442881,New,Worn Out,Good,1
Bus,Good,4,1,108024,683.00,18-06-2023,8,0,19.80983642,Good,New,Good,1
Motorcycle,Poor,1,3,149681,510.00,08-12-2023,10,3,16.98440556,Good,New,New,1
Car,Poor,5,4,95830,635.00,05-08-2023,8,2,19.38168696,New,Good,Good,1
Car,Good,0,8,15291,703.00,29-05-2023,9,2,12.50153907,Good,Worn Out,New,1
Motorcycle,Good,5,4,39672,697.00,04-06-2023,2,1,18.37519143,Good,Good,Good,1
Car,Average,0,5,54118,701.00,31-05-2023,1,1,13.09995882,Good,Worn Out,Weak,1
SUV,Average,0,10,121428,731.00,01-05-2023,2,2,10.30047987,New,New,New,0
Bus,Average,4,5,126871,763.00,30-03-2023,4,1,15.37962285,Worn Out,Worn Out,Good,1
Motorcycle,Average,0,7,78539,584.00,25-09-2023,7,0,12.10338483,New,Good,New,0
Truck,Poor,3,8,78939,513.00,05-12-2023,4,1,14.27510443,New,Worn Out,Weak,1
SUV,Average,2,4,59934,751.00,11-04-2023,1,0,16.38957989,Good,Good,Weak,1
Van,Average,3,1,103317,526.00,22-11-2023,5,0,16.35156127,Good,New,Good,1
Bus,Good,3,10,114057,511.00,07-12-2023,5,0,18.20591779,Good,Good,Good,0
SUV,Good,3,1,115715,743.00,19-04-2023,4,0,11.74255627,New,Good,Weak,1
SUV,Average,4,1,18255,708.00,24-05-2023,10,3,10.03976425,New,New,Weak,1
Bus,Average,4,2,1333,736.00,26-04-2023,10,1,13.27660391,Good,Worn Out,New,1
Car,Poor,2,6,109589,488.00,30-12-2023,5,3,14.60682547,Good,Good,New,1
SUV,Average,4,8,74246,499.00,19-12-2023,5,0,14.0032508,Good,New,Weak,1
Truck,Good,5,2,71761,499.00,19-12-2023,1,2,19.03741565,New,Good,Good,1
Motorcycle,Average,1,1,49904,741.00,21-04-2023,10,3,18.45290971,New,Good,New,1
Car,Poor,1,4,58091,760.00,02-04-2023,1,0,17.01076314,Worn Out,Worn Out,Weak,1
Van,Poor,1,4,33272,713.00,19-05-2023,5,3,18.83819124,Worn Out,New,New,0
Bus,Good,4,1,136859,508.00,10-12-2023,9,3,16.57018823,Good,Worn Out,New,1
Truck,Average,5,8,95885,762.00,31-03-2023,9,2,18.24613026,New,Worn Out,New,1
Truck,Poor,4,2,105885,722.00,10-05-2023,10,2,11.17058675,New,Worn Out,Weak,1
Car,Average,5,9,147587,655.00,16-07-2023,1,3,10.72690902,New,New,Weak,1
Car,Good,4,1,18222,691.00,10-06-2023,8,1,15.86307175,New,Worn Out,Weak,1
Car,Average,2,4,112496,535.00,13-11-2023,9,0,12.2687993,New,Good,Good,0
Car,Poor,3,1,79116,761.00,01-04-2023,9,2,19.7249978,New,Worn Out,New,1
Car,Poor,5,5,107346,449.00,07-02-2024,5,1,14.93350459,New,Worn Out,Weak,1
Van,Poor,5,2,123228,581.00,28-09-2023,8,2,15.62459264,Good,Good,New,1
Truck,Poor,4,6,34302,609.00,31-08-2023,2,3,10.58264802,New,New,Good,1
Truck,Good,0,9,18346,749.00,13-04-2023,1,0,10.13572532,Good,New,Good,0
Car,Good,4,9,95788,730.00,02-05-2023,10,2,11.13448246,Good,Good,Good,1
Bus,Good,2,2,64087,635.00,05-08-2023,2,3,10.09311852,Worn Out,New,New,0
Van,Poor,2,3,104486,619.00,21-08-2023,8,0,18.10960027,Worn Out,Good,New,1
Bus,Poor,1,2,120611,512.00,06-12-2023,4,0,17.79626551,New,Worn Out,New,1
SUV,Good,4,6,80948,719.00,13-05-2023,9,0,10.58560386,Worn Out,Worn Out,Weak,1
Car,Poor,5,5,46966,633.00,07-08-2023,4,3,15.36483799,New,Good,Good,1
Van,Average,4,8,75512,513.00,05-12-2023,9,0,10.51497659,Worn Out,New,Weak,1
Motorcycle,Average,0,1,36206,566.00,13-10-2023,6,1,14.03963551,New,Good,Good,0
Bus,Poor,5,10,78879,552.00,27-10-2023,10,0,10.94054855,New,Good,Weak,1
SUV,Poor,1,3,40786,455.00,01-02-2024,9,3,17.55200006,Worn Out,New,Weak,1
Truck,Average,4,2,9288,454.00,02-02-2024,4,3,10.07756282,Worn Out,Good,Good,1
Motorcycle,Good,2,5,83895,696.00,05-06-2023,5,3,17.88038205,Good,New,Weak,1
SUV,Average,2,4,4101,570.00,09-10-2023,4,3,16.40040062,Good,Good,Good,0
Motorcycle,Poor,4,2,27243,515.00,03-12-2023,5,1,10.7973463,Good,Good,Weak,1
Truck,Average,4,2,98297,571.00,08-10-2023,3,1,19.9058774,Good,Worn Out,Weak,1
Van,Average,1,2,32932,574.00,05-10-2023,2,0,10.01394367,Good,Worn Out,New,1
SUV,Poor,4,8,120538,669.00,02-07-2023,6,2,15.57158818,Worn Out,Worn Out,Good,1
Car,Average,5,10,106068,750.00,12-04-2023,5,1,15.83265614,Worn Out,Good,Good,1
Motorcycle,Average,2,5,94706,472.00,15-01-2024,8,0,14.58656911,Worn Out,Good,Weak,1
Van,Average,5,10,142134,482.00,05-01-2024,2,0,10.81468527,New,Worn Out,Weak,1
Van,Good,2,9,28421,553.00,26-10-2023,5,1,16.7578823,Good,New,Good,0
Bus,Average,2,3,115375,660.00,11-07-2023,7,1,11.67180766,New,Worn Out,Good,1
SUV,Poor,5,4,6552,760.00,02-04-2023,1,1,14.05952651,New,Worn Out,Good,1
Car,Average,2,10,148261,520.00,28-11-2023,5,1,17.35585303,Worn Out,Worn Out,Weak,1
SUV,Good,4,8,117586,541.00,07-11-2023,6,1,19.70821946,Worn Out,New,Weak,1
SUV,Good,4,5,27562,646.00,25-07-2023,4,0,11.78860893,Worn Out,Worn Out,Good,1
Truck,Poor,3,5,149094,575.00,04-10-2023,7,2,10.0432172,Worn Out,Good,Weak,1
Car,Average,4,8,85352,460.00,27-01-2024,2,1,16.29438952,New,Worn Out,Good,1
Motorcycle,Average,0,7,114024,550.00,29-10-2023,6,2,12.88468293,New,New,Weak,1
Truck,Average,5,2,144639,567.00,12-10-2023,6,1,16.46186401,New,Good,New,1
Car,Poor,3,10,97915,722.00,10-05-2023,8,3,15.93668229,Worn Out,Worn Out,Weak,1
Bus,Poor,3,2,34556,528.00,20-11-2023,8,2,11.69437456,Worn Out,Good,Good,1
SUV,Good,2,4,78990,492.00,26-12-2023,9,3,11.34110499,New,Good,New,1
Motorcycle,Average,0,3,60630,533.00,15-11-2023,4,2,10.54250989,New,New,New,0
Bus,Good,1,5,90873,483.00,04-01-2024,10,0,16.76354286,Good,New,New,0
Motorcycle,Poor,5,9,96891,529.00,19-11-2023,6,1,13.26079705,New,Worn Out,Weak,1
Motorcycle,Poor,4,9,100586,552.00,27-10-2023,3,2,17.08972762,New,Good,New,1
Car,Poor,4,4,50310,678.00,23-06-2023,6,1,17.3493361,Good,Worn Out,Good,1
Truck,Average,4,4,105288,479.00,08-01-2024,1,3,14.68277465,Worn Out,Good,New,1
Truck,Good,5,9,55262,691.00,10-06-2023,4,0,10.17972661,Worn Out,Good,New,1
Bus,Good,0,7,85015,508.00,10-12-2023,2,1,19.00172656,Good,Worn Out,Good,1
Bus,Poor,2,5,135049,660.00,11-07-2023,4,3,19.38886161,Worn Out,Good,Good,1
Bus,Good,1,2,40866,657.00,14-07-2023,5,3,10.66110993,New,Good,New,0
Bus,Average,0,1,91761,624.00,16-08-2023,8,2,14.47943464,Good,Good,Weak,1
Motorcycle,Poor,3,3,141305,462.00,25-01-2024,2,1,18.49261789,New,Good,Weak,1
Car,Poor,4,5,142938,692.00,09-06-2023,3,0,16.89741741,Good,Good,New,1
Van,Average,3,2,43687,591.00,18-09-2023,5,0,14.51868077,Worn Out,Worn Out,Weak,1
Truck,Average,3,5,111484,735.00,27-04-2023,8,3,16.3789456,New,Worn Out,Weak,1
Car,Average,1,8,95176,731.00,01-05-2023,9,3,12.0873461,New,New,Good,1
Car,Good,3,6,118586,508.00,10-12-2023,1,3,18.88149965,New,Worn Out,Good,1
Bus,Poor,5,6,63181,750.00,12-04-2023,5,3,11.40213608,Good,Good,Weak,1
Truck,Poor,0,1,81052,497.00,21-12-2023,2,3,11.21776758,Good,Good,Weak,1
SUV,Poor,4,9,79863,511.00,07-12-2023,1,3,19.79607461,New,Good,Good,1
Van,Average,1,1,126700,613.00,27-08-2023,9,3,15.9160002,Worn Out,New,Good,1
Car,Poor,5,5,24364,452.00,04-02-2024,9,0,14.73194593,Good,New,New,1
SUV,Average,5,3,144680,723.00,09-05-2023,7,1,13.60369511,Worn Out,Good,Good,1
Bus,Poor,0,9,139642,509.00,09-12-2023,9,2,18.98547866,Worn Out,New,New,1
Van,Good,0,5,35362,711.00,21-05-2023,7,0,15.43749691,Good,New,New,0
Truck,Poor,3,5,33738,735.00,27-04-2023,9,2,18.02921432,Good,New,Weak,1
SUV,Average,2,10,100693,669.00,02-07-2023,7,2,14.3577546,New,Good,New,0
SUV,Average,3,7,130211,543.00,05-11-2023,6,3,15.3630652,New,Worn Out,Weak,1
Bus,Poor,0,9,125626,740.00,22-04-2023,1,3,11.84694242,New,Good,Good,0
Truck,Good,2,9,108217,516.00,02-12-2023,9,1,19.16892298,New,New,Weak,1
Van,Poor,4,4,58852,550.00,29-10-2023,1,0,19.75650801,New,New,New,1
Van,Average,2,4,14822,751.00,11-04-2023,3,0,16.24419764,New,New,New,0
SUV,Average,5,8,83247,500.00,18-12-2023,9,1,15.58140769,Good,New,Weak,1
Motorcycle,Average,4,9,17709,527.00,21-11-2023,2,0,10.2739061,Worn Out,Good,Weak,1
SUV,Good,3,5,105157,565.00,14-10-2023,7,0,15.08363492,Worn Out,Good,Weak,1
Van,Good,3,4,100861,730.00,02-05-2023,4,2,18.71198048,New,Good,New,0
Bus,Poor,5,3,111243,595.00,14-09-2023,3,1,16.73290963,Good,Good,Weak,1
Motorcycle,Poor,5,4,71560,673.00,28-06-2023,3,2,16.39866591,New,Good,Good,1
Car,Average,4,10,20487,612.00,28-08-2023,3,0,12.85780682,Worn Out,Worn Out,Good,1
Truck,Good,0,9,25401,579.00,30-09-2023,10,3,19.15900649,New,Good,Good,1
Bus,Good,5,7,116772,614.00,26-08-2023,2,2,10.82791513,Good,New,Weak,1
Truck,Poor,5,2,86684,490.00,28-12-2023,7,1,19.18423241,Worn Out,New,Good,1
Car,Average,2,3,8933,551.00,28-10-2023,6,0,18.73954538,Worn Out,Worn Out,Good,1
Truck,Average,4,7,53460,443.00,13-02-2024,9,1,19.9161049,Worn Out,New,New,1
Bus,Poor,0,8,98933,550.00,29-10-2023,3,3,15.98203848,New,Good,Good,0
Car,Average,1,5,78133,530.00,18-11-2023,5,3,10.98387125,New,Good,Good,0
Car,Good,4,5,98799,523.00,25-11-2023,6,3,18.87143589,Worn Out,Worn Out,New,1
Bus,Poor,3,10,95544,621.00,19-08-2023,9,1,14.29609617,Good,Good,Weak,1
Motorcycle,Good,1,10,148343,712.00,20-05-2023,3,0,13.2856003,New,Worn Out,Good,1
Motorcycle,Poor,2,8,87534,537.00,11-11-2023,4,3,11.85967831,Worn Out,New,Good,1
Motorcycle,Good,0,10,71931,533.00,15-11-2023,9,1,19.61291653,New,Worn Out,Good,1
Van,Average,0,2,111199,451.00,05-02-2024,9,1,19.50197211,Worn Out,New,Weak,1
Van,Average,4,10,103081,666.00,05-07-2023,10,3,10.36828721,Worn Out,New,Good,1
Car,Good,5,3,120947,448.00,08-02-2024,6,0,19.94005487,Worn Out,New,Good,1
Truck,Good,2,3,132433,575.00,04-10-2023,2,2,11.47802716,Worn Out,Worn Out,Good,1
Truck,Good,0,2,56779,596.00,13-09-2023,8,0,10.37454163,Good,New,Weak,1
Bus,Good,5,2,33150,720.00,12-05-2023,10,1,16.3160488,Good,Worn Out,Weak,1
Truck,Good,4,2,22789,619.00,21-08-2023,3,3,11.01401638,New,New,Good,1
Motorcycle,Good,2,5,136742,528.00,20-11-2023,10,2,17.93691208,Worn Out,Good,Good,1
Truck,Good,0,10,113822,605.00,04-09-2023,3,1,12.04541669,New,Good,Weak,1
Motorcycle,Poor,2,4,12478,480.00,07-01-2024,10,3,10.0243643,Good,Good,New,1
SUV,Poor,1,2,138280,578.00,01-10-2023,9,1,17.16580185,New,Good,Good,0
Truck,Good,5,2,114258,702.00,30-05-2023,9,0,18.46282492,New,Good,New,1
Van,Poor,2,2,12295,528.00,20-11-2023,10,3,13.71790766,Worn Out,Good,Good,1
SUV,Average,2,1,90806,624.00,16-08-2023,1,2,16.58332642,New,Good,Good,0
Motorcycle,Poor,4,3,90189,575.00,04-10-2023,4,0,11.92247236,Good,New,Good,1
Bus,Average,0,4,32512,715.00,17-05-2023,2,0,15.41480783,Worn Out,Worn Out,New,1
Truck,Poor,3,9,50876,671.00,30-06-2023,5,0,18.98409329,Good,New,New,1
Motorcycle,Poor,3,4,78286,691.00,10-06-2023,6,0,11.24213514,New,Good,Weak,1
Car,Good,1,9,124935,441.00,15-02-2024,6,1,18.05657907,Worn Out,Worn Out,New,1
Car,Good,2,3,112107,570.00,09-10-2023,9,1,12.56495705,New,New,New,0
SUV,Average,5,4,87586,608.00,01-09-2023,7,0,17.85201246,Good,New,New,1
Bus,Poor,4,7,98267,540.00,08-11-2023,9,0,19.19445331,Good,New,Good,1
Van,Poor,3,9,39828,748.00,14-04-2023,7,0,16.15105655,Good,New,Weak,1
Motorcycle,Good,2,1,121555,753.00,09-04-2023,8,1,19.72591873,Good,Worn Out,Good,1
Bus,Average,3,1,15288,471.00,16-01-2024,7,1,11.59605824,New,Good,Good,1
Truck,Poor,2,9,149980,518.00,30-11-2023,5,3,15.50193541,Worn Out,New,New,1
Bus,Good,3,6,54616,698.00,03-06-2023,10,1,12.02499703,Worn Out,Good,Weak,1
Bus,Poor,2,1,113734,526.00,22-11-2023,10,0,14.90597611,Good,Good,Good,1
Truck,Good,2,8,54475,583.00,26-09-2023,9,1,19.93508807,Worn Out,Good,Good,0
Motorcycle,Good,0,3,136374,458.00,29-01-2024,9,3,13.36658906,New,Good,Good,1
SUV,Poor,5,7,144079,578.00,01-10-2023,9,1,17.16206329,Worn Out,Worn Out,New,1
Van,Good,5,4,147602,587.00,22-09-2023,4,1,11.95904472,Good,Worn Out,Weak,1
Car,Good,5,6,49438,519.00,29-11-2023,2,2,13.71002417,Worn Out,New,Weak,1
SUV,Good,1,10,135763,758.00,04-04-2023,7,1,16.55788126,Good,New,Good,0
Van,Poor,5,2,17871,560.00,19-10-2023,3,3,12.38201905,New,New,Weak,1
Motorcycle,Poor,2,1,2231,678.00,23-06-2023,9,3,14.31089374,Worn Out,New,Good,1
Car,Average,4,3,107840,526.00,22-11-2023,2,3,18.95271019,Worn Out,Good,Weak,1
SUV,Good,1,9,39409,762.00,31-03-2023,7,3,17.29305441,New,Good,Good,0
Van,Poor,0,4,32065,509.00,09-12-2023,6,0,13.7615519,New,New,Good,0
Car,Poor,4,7,140318,758.00,04-04-2023,2,1,16.46567268,Good,Worn Out,Good,1
Truck,Good,1,4,122780,472.00,15-01-2024,3,3,12.72002933,New,Good,New,0
Truck,Average,2,4,137570,677.00,24-06-2023,10,1,10.12404844,Worn Out,New,New,0
SUV,Good,5,4,62443,596.00,13-09-2023,8,1,12.61551318,New,New,Weak,1
SUV,Average,1,6,46823,643.00,28-07-2023,4,1,17.59911939,Good,Worn Out,New,1
Bus,Poor,1,6,13140,591.00,18-09-2023,8,0,10.9441291,Good,Good,Good,0
SUV,Good,1,8,83039,749.00,13-04-2023,2,3,13.29946308,Good,Worn Out,Weak,1
Motorcycle,Poor,5,3,139153,588.00,21-09-2023,8,2,11.52555914,New,New,Good,1
Motorcycle,Poor,2,9,57076,749.00,13-04-2023,3,2,19.56266193,Good,New,Good,1
Truck,Poor,5,9,119481,517.00,01-12-2023,5,2,19.11316814,New,Good,Weak,1
Bus,Poor,4,8,53864,430.00,26-02-2024,7,1,19.0083609,Good,Worn Out,Weak,1
Truck,Poor,4,5,4058,703.00,29-05-2023,1,0,18.33874472,Worn Out,Good,New,1
SUV,Good,2,5,74133,627.00,13-08-2023,2,1,18.95978234,Worn Out,Good,Good,0
Truck,Poor,0,8,107579,558.00,21-10-2023,3,3,15.7689762,Worn Out,New,Good,0
Motorcycle,Average,2,10,20968,587.00,22-09-2023,1,2,16.23188513,New,New,Weak,1
Car,Good,3,7,69790,478.00,09-01-2024,9,0,13.9356409,Good,New,Weak,1
SUV,Good,4,2,9400,590.00,19-09-2023,5,2,17.57395348,Worn Out,Good,New,1
Motorcycle,Average,5,5,75371,619.00,21-08-2023,1,1,19.41876364,Good,Worn Out,Weak,1
Bus,Average,3,4,32091,677.00,24-06-2023,9,1,13.138844,Good,Worn Out,Good,1
Bus,Poor,2,7,127607,647.00,24-07-2023,4,1,14.22998405,Worn Out,Good,Good,1
Van,Average,2,3,50293,652.00,19-07-2023,8,0,18.66773145,Worn Out,Good,Weak,1
Car,Good,2,9,148267,636.00,04-08-2023,9,2,15.3182648,Worn Out,Good,Good,1
Motorcycle,Good,4,8,88387,562.00,17-10-2023,6,0,16.48671394,Good,New,Weak,1
Motorcycle,Average,4,7,141304,745.00,17-04-2023,4,3,12.18187709,Good,New,New,1
Motorcycle,Poor,0,9,55383,648.00,23-07-2023,3,1,10.19005695,Good,Worn Out,New,1
Truck,Good,5,10,77370,711.00,21-05-2023,2,2,18.52803227,Worn Out,Good,New,1
Motorcycle,Average,1,5,56561,552.00,27-10-2023,3,1,13.8427786,Worn Out,New,New,0
SUV,Good,5,8,145345,547.00,01-11-2023,8,1,16.1723036,New,Worn Out,New,1
Car,Average,5,3,101856,493.00,25-12-2023,7,0,10.74146684,Worn Out,Good,Good,1
Van,Poor,2,9,105307,554.00,25-10-2023,5,0,14.14621748,Good,New,Weak,1
Bus,Good,4,4,126888,634.00,06-08-2023,1,1,14.91777491,Good,New,Good,1
